Organization,list
foresthopeprc.org,fco
firststeprutland.com,fhprc
follutheran.org,fsr
foundationsoflife.org,fol
freewomensclinic.com ,fol2
fwpc.org,fwc
family-values.org/fvri.org,fwpc
golfers-academy.com,fvri
goodwinengineers.com,ga
guardianiowa.com,ge
gmpcmedical.org & savethetinyhumans.org,gi
goaspeakers.com,gmpcm
gotwc.org /abortionchoices.com ,goas
gabrielproject.life,gotwc
gppregnancy.com,gp
georgiapregnancyresources.org,gpp
gtpp.com,gpr
greenwoodwesleyan.org,gssw
h2cleadership.com/drcathygreenburg,gtpp
help4her.com,gw
heartbeats.org (donor:hbfl.us),h2c
heartbeatofmiami.org,h4h
"hercareconnection.org, guidingstarsouthwest.org, southwest.life",hb
healthmoval.org/healthcentermv.org,hbm
houstonpregnancy.com,hcc
horizonpc.org / supporthpc.org,hcmv
hollisterpregnancycenter.com,hp
hoperesourcectr.org,hpc
hr-help.info,hpc2
irapture.com,hrcrt
internationallifeservices.org,hrh
imcnews.org,i
infiniteworth.org,ils
justwaterheatersaz.com,imcn
kingdomlovefoundation.org/liberiamissionary.org,iw
lahabralifecenter.org + meckiteam.org + lifecentersoforangecounty.com,jwhaz
lofriends.org & life-options.org,klf
lifelinepcc.org/ llteam.org / noregretstoday.org,lh
limoport.com,lo
mundodeninosacademy.org,llpcc2
myget.clinic,lp
mothersrefuge.org,mdna
nifla.org,mf
"nightlight.org, generationsadoptions.org, everychildhasaname.org",mgc
northstarwc.org (client)/lifelineofberks.org/llpmc.org (donor domains pending),mr
nonviolenceny.org,nifla
obria.org - Obria Group with Affiliate Accounts --- 1: Santa Ana (SA) / Obria Medical Clinics Southern California  (omcsocal) | 2: Washington (WA) | 3: Iowa (IA) ,nl
optionscarecenter.com (was preg-help.org) / friendsofocc.com ,nswc
optionsdmv.org/optionswc.org,nv
"optionsforpregnancy.com, arealoption.com untangled.org (TBD) (optionsunited.com)",obria
optionsforwomenmo.com,occ
olglife.org,odmvOwc
optionsmenomonie.com,ofp
omgpregnant.org/phcheroes.org,ofw
obria.org Oregon,olgl
oopspregnant.com {?chooselifeconnection.org?} phcheroes.org,om
optionspregnancyclinic.com,omgp
optionstricounty.org,oo
pregnancyaidclinic.com (requested to add pac-woman.com - April 2020),oops
priceandpricelaw.com,opc
pccchandler.com,otc
plantcitypregnancycenter.org,pac
phctorrance.org / supportphctorrance.org,pap
phcjeffersoncity.com / friendsofphc.org (remaining hours to be used on Donor website),pccc
pregnanthelp4u.org/pccgive.org,pcpc
patriot-insurance.com,phct
pllwomensresourcecenter.com / pregnancylifeline.com,phcjc
prolifemike.com,ph4u
proliferibon.com,pi
pregnantnowwhat.org,pll
pearsonplace.org | hipp.team,plm
prcnaples.org and supportprc.org,plr
prcofmg.net,pnw
"pregnancyhelplebanon.com, psclebanon.org",pp
patriotsonpurpose.com,ppc
realoptions.net & friendsofrealoptions.net,prcn
queenofheavenacademy.org,prcofmg
rbellconsultingllc.com,pscl
radiancewomenscentertx.com / pfprc.org,pop
"silentvoices.org (donor site for realchoiceschulavista.com, which moved)",pwcaz
reachoutwomenscenter.org,qoha
ramonapregnancy.org,rbc
rocksolidtruth.com,rwctx
rtllsc.org,rccv
sperocenter.com/bluewaterbabies.org,ro
saguarobuttes.org,rowc
schollbioethics.org,rp
sbpregnancychoices.com / pregnancyfamily.org,rst
setrpainting.com,rtllsc
stenoinstitute.org,scBwb
stmariashome.org,sb
singnspeak.com,sbe
slspartners.org/stillwaterlife.org,sbpc
salempregnancy.org /  spcclife.org,setrp
speromedical.org/sperohope.com,si
sonoitarealty.com,smh
swsealco.com,sns
tricountybirthright.org,sls
thecuttingedgeaz.com,sp
tcgiving.org,spero
thecenterukiah.com / mendolakewomensclinic.com,sr2
thegreekfest.com,swsco
thegoodshepherdacademy.org,tcb
the good shepherd,tce
trotterhouselindale.com and thlindalegive.org,tcg
tlcclinic.center / tlc,tewhc
thewomenshelpcenter.org / whcfriends.org,tcu
hopeofthedelta.org/thinkyoumaybepregnant.com and supporthope.org,tgf
trinityrecoverycoaching.org & recoverycoachingalliance.org,tgs
unaltered.org,tgsOld
unexpectedpc.com,thl
usfly.org,tlc
ultrapureus.com,twhc
villagersonline.com,tymbp
Viemedicalclinic.org,trc
pregnancyjacksonville.com /  whcjax.com,ua
whittierlifecenter.org,ue
woameet.com,usf
westernerproducts.com,ups
wyandottepregnancyclinic.org,vc
wakullalife.org,vmc
watchtherefore.tv/blessingisraelibelievers.com/pouredoutforthenations.com,whc
yourlovingchoices.org,wlc
,woa
,wp
,wpc2
,wpc3
,wt.tv
,ylc
,.apo
,.sp
,.hmb
,.mr
,.jd
,.jml
